scenario,year,CAR,ARTIC,RIGID,VAN,CAR_AV,ARTIC_AV,RIGID_AV,VAN_AV,TOTAL
01-BaU,2015,14745374.07,3216367.6300000004,1430806.52,3590823.4699999993,0.0,0.0,0.0,0.0,22983371.689999998
01-BaU,2020,13456535.42,2886931.8599999994,1281089.7,3201053.660000001,0.0,0.0,0.0,0.0,20825610.64
01-BaU,2030,11735635.309999997,2676340.2999999993,1185827.49,2824303.1900000004,0.0,0.0,0.0,0.0,18422106.289999995
01-BaU,2040,9645601.57,2666812.2999999993,1168995.43,2449756.8200000003,0.0,0.0,0.0,0.0,15931166.12
01-BaU,2050,8174753.839999998,2698628.9299999997,1181257.2800000003,2138973.0300000003,0.0,0.0,0.0,0.0,14193613.079999998
02-HighlyConnected,2015,14736690.16,3190370.5900000003,1420881.1500000001,3590813.43,0.0,0.0,0.0,0.0,22938755.33
02-HighlyConnected,2020,13198821.75,2478565.300000001,1122672.98,3263365.24,0.0,0.0,0.0,0.0,20063425.270000003
02-HighlyConnected,2030,9683192.01,1441109.8199999998,708053.59,2715626.959999999,152761.8,21102.86,10532.789999999999,40859.969999999994,14773239.799999999
02-HighlyConnected,2040,3866999.0300000007,696933.1799999998,360353.02,1708105.95,714523.98,128881.67000000003,64174.61999999999,301690.7300000001,7841662.180000001
02-HighlyConnected,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-AdaptedFleet,2015,14736690.16,3190370.5900000003,1420881.1500000001,3590813.43,0.0,0.0,0.0,0.0,22938755.33
03-AdaptedFleet,2020,13380909.309999995,2482805.7999999993,1121504.15,3199051.0900000003,0.0,0.0,0.0,0.0,20184270.349999994
03-AdaptedFleet,2030,8143674.199999998,1298177.2899999998,641883.7599999999,2062359.89,64170.170000000006,10402.630000000001,4419.25,16226.97,12241314.159999998
03-AdaptedFleet,2040,3537031.16,677638.9500000001,354148.17,1195569.95,301637.73999999993,53343.9,28120.280000000002,97228.70000000001,6244718.850000001
03-AdaptedFleet,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-BehavShiftPolicy,2015,14736690.16,3190370.5900000003,1420881.1500000001,3590813.43,0.0,0.0,0.0,0.0,22938755.33
04-BehavShiftPolicy,2020,13381421.969999997,2485542.5900000003,1124700.01,3199567.819999999,0.0,0.0,0.0,0.0,20191232.389999997
04-BehavShiftPolicy,2030,8934007.56,1411822.04,691961.1400000001,2419359.38,70449.78000000001,9616.63,4437.449999999999,18127.76,13559781.74
04-BehavShiftPolicy,2040,3657448.6,713582.4600000003,366976.83,1505818.4999999998,311459.8900000001,57468.12999999999,30019.93,120898.17000000003,6763672.510000001
04-BehavShiftPolicy,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-BehavShiftResults,2015,14736690.16,3190370.5900000003,1420881.1500000001,3590813.43,0.0,0.0,0.0,0.0,22938755.33
05-BehavShiftResults,2020,13381421.969999997,2485542.5900000003,1124700.01,3199567.819999999,0.0,0.0,0.0,0.0,20191232.389999997
05-BehavShiftResults,2030,9315314.069999998,1441464.6500000001,715577.4000000003,2581001.05,72938.24999999999,11226.749999999998,5326.21,19380.39,14162228.769999998
05-BehavShiftResults,2040,3835736.0200000005,770946.8399999999,393657.77999999997,1682298.5399999996,324861.24000000005,62513.499999999985,32065.97,135941.14,7238021.029999999
05-BehavShiftResults,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
